en,ja
concurrently,兼
suspend,懸
key,鍵
intelligent,賢
shoulder,肩
strict,堅
precipitous,険
silk,絹
fist,拳
cocoon,繭
see,見
flats,軒
healthy,健
build,建
sharpen,研
dispatch,遣
sabre,剣
hole,穴
blood,血
undefiled,潔
lack,欠
decide,決
national flag,旗
machine,機
mourning,忌
how many,幾
pray,祈
return,帰
radiance,輝
turtle,亀
feeling,気
plan,企
wake up,起
ghost,鬼
write down,記
previously,既
desk,机
hungry,飢
container,器
approach,寄
rejoice,喜
good luck,吉
near,近
collar,襟
harp,琴
brocade,錦
muscle,筋
diligence,勤
discreet,謹
a wee bit,僅
packed,詰
old,古
boast,誇
wither,枯
look back,顧
hard,固
crotch,股
lake,湖
door,戸
tiger,虎
drum,鼓
employ,雇
call,呼
circumstances,故
engrave,刻
country,国
black,黒
valley,谷
tell,告
mark,痕
become distressed,困
root,根
sociable,懇
soul,魂
rancor,恨
bone,骨
thick,厚
disconcerted,慌
inlet,江
steel,鋼
withdraw,控
wide,広
construct,構
armor,甲
think,考
stiff,硬
effect,効
craft,工
harbor,港
tribute,貢
gutter,溝
over there,向
throat,喉
public,公
emperor,皇
aggression,攻
climate,候
till,耕
tall,高
adroit,巧
hawser,綱
drive,駆
fragrant,薫
you,君
dig,掘
leg,脚
guest,客
raise,挙
reside,居
foothold,拠
repel,拒
permit,許
musical composition,曲
home town,郷
pinch,挟
bridge,橋
echo,響
mirror,鏡
capital,京
lunatic,狂
bosom,胸
wonder,驚
fear,恐
boundary,境
shout,叫
rectify,矯
together,共
respect,恭
long time,久
hurry,急
smell,嗅
research,究
hard up,窮
decay,朽
request,求
cry,泣
hill,丘
reach out,及
suck,吸
salvation,救
sphere,球
mortar,臼
rest,休
bow,弓
hemp,麻
grind,磨
younger sister,妹
bury,埋
curtain,幕
ten thousand,万
full,満
astray,迷
dark,冥
chirp,鳴
excuse,免
cotton,綿
destroy,滅
flavor,味
sleep,眠
people,民
imitation,模
overgrown,茂
silence,黙
eye,目
gates,門
question,問
netting,網
delusion,妄
hair,毛
halberd,矛
fog,霧
duty,務
dream,夢
inside,内
south,南
soft,軟
twist,捻
burn,燃
sticky,粘
year,年
heat,熱
nun,尼
two,二
responsibility,任
recognize,認
endure,忍
concentrated,濃
trouble,悩
settlement,納
roof,屋
warm,温
calm,穏
wholesale,卸
respond,応
assault,殴
push,押
heart,奥
cherry tree,桜
side,横
naked,裸
thunder,雷
entwine,絡
fall,落
indigo,藍
riot,乱
egg,卵
encourage,励
re-,戻
thanks,礼
example,例
lovely,麗
calendar,暦
